"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0020308","McMaMi00","M.McMahon","DET","QB",7,51.34,2001,7.33428571428571,36,0,0,1,1,0,0
"00-0003761","CunnRa00","R.Cunningham","BAL","QB",5,42.92,2001,8.584,37,0,0,0,1,0,0
"00-0010560","MattSh00","S. Matthews","CHI","QB",4,34.26,2001,8.565,38,0,0,0,1,0,0
"00-0018272","WrigAn00","A.Wright","DAL","QB",4,32.86,2001,8.215,39,0,0,0,1,0,0
"00-0005589","FrerGu00","G.Frerotte","DEN","QB",4,29.22,2001,7.305,40,0,0,0,1,0,0
"00-0004230","DetmTy00","T.Detmer","DET","QB",4,28.84,2001,7.21,41,0,0,0,1,0,0
"00-0012261","ODonNe00","N.O'Donnell","TEN","QB",5,26.64,2001,5.328,42,0,0,0,1,0,0
"00-0001361","BledDr00","D.Bledsoe","NE","QB",2,21.8,2001,10.9,43,0,0,0,1,0,0
"00-0019442","StoeCl00","C.Stoerner","DAL","QB",4,21.26,2001,5.315,44,0,0,0,1,0,0
"00-0010261","MaddTo00","T.Maddox","PIT","QB",3,15.06,2001,5.02,45,0,0,0,1,0,0
"00-0013338","QuinJo00","J.Quinn","JAX","QB",4,14.64,2001,3.66,46,0,0,0,1,0,0
"00-0020531","BreeDr00","D.Brees","LAC","QB",1,14.64,2001,14.64,47,0,0,0,1,0,0
"00-0009715","LeafRy00","R.Leaf","DAL","QB",4,13.06,2001,3.265,48,0,0,0,1,0,0
"00-0006212","GrahKe00","K.Graham","WAS","QB",2,12.54,2001,6.27,49,0,0,0,0,0,0
"00-0020305","FeelA.00","A.Feeley","PHI","QB",1,11.72,2001,11.72,50,0,0,0,0,0,0
"00-0019553","WynnSp00","S.Wynn","MIN","QB",3,10.82,2001,3.60666666666667,51,0,0,0,0,0,0
"00-0007834","HuarBr00","B.Huard","SEA","QB",1,10.18,2001,10.18,52,0,0,0,0,0,0
"00-0019192","BrowTr01","T.Brown","BUF","QB",1,9.04,2001,9.04,53,0,0,0,0,0,0
"00-0019559","PennCh01","C.Pennington","NYJ","QB",2,8.78,2001,4.39,54,0,0,0,0,0,0
"00-0007576","HolcKe00","K.Holcomb","CLE","QB",1,8.56,2001,8.56,55,0,0,0,0,0,0
"00-0010137","LucaRa00","R.Lucas","MIA","QB",7,8.4,2001,1.2,56,0,0,0,0,0,0
"00-0009266","KingSh00","S.King","TB","QB",3,7.2,2001,2.4,57,0,0,0,0,0,0
"00-0019087","JohnDo00","D.Johnson","ATL","QB",3,4.12,2001,1.37333333333333,58,0,0,0,0,0,0
"00-0010206","LytlMa00","M.Lytle","CAR","QB",3,4.12,2001,1.37333333333333,59,0,0,0,0,0,0
"00-0019682","JackJa01","J.Jackson","DEN","QB",1,3.62,2001,3.62,60,0,0,0,0,0,0
"00-0015082","SmitAk00","A.Smith","CIN","QB",2,3.48,2001,1.74,61,0,0,0,0,0,0
"00-0003600","CraiDa00","D.Craig","CAR","QB",2,3.36,2001,1.68,62,0,0,0,0,0,0
"00-0014234","RypiMa00","M.Rypien","IND","QB",1,2.28,2001,2.28,63,0,0,0,0,0,0
"00-0003315",NA,"T. Collins","KC","QB",1,2.2,2001,2.2,64,0,0,0,0,0,0
"00-0020405","TuiaMa00","M. Tuiasosop","LV","QB",1,1.46,2001,1.46,65,0,0,0,0,0,0
"00-0019633","MartTe00","T.Martin","PIT","QB",1,0.8,2001,0.8,66,0,0,0,0,0,0
"00-0004229","DetmKo00","K.Detmer","PHI","QB",5,0.64,2001,0.128,67,0,0,0,0,0,0
"00-0019623","RattTi00","T.Rattay","SF","QB",2,0.54,2001,0.27,68,0,0,0,0,0,0
"00-0016683","TupaTo20","T.Tupa","NYJ","QB",1,0.36,2001,0.36,69,0,0,0,0,0,0
"00-0019041","VoleBi00","B.Volek","TEN","QB",1,0,2001,0,70,0,0,0,0,0,0
"00-0010455","MartJa00","J.Martin","LA","QB",3,-0.0200000000000001,2001,-0.00666666666666671,71,0,0,0,0,0,0
"00-0001335","BlakJe00","J.Blake","NO","QB",1,-0.1,2001,-0.1,72,0,0,0,0,0,0
"00-0012726","PedeDo00","D.Pederson","GB","QB",1,-0.1,2001,-0.1,73,0,0,0,0,0,0
"00-0005885","GeorJe00","J.George","WAS","QB",2,-1.28,2001,-0.64,74,0,0,0,0,0,0
"00-0011434","MitcSc00","S.Mitchell","CIN","QB",1,-4.48,2001,-4.48,75,0,0,0,0,0,0
"00-0005092","FaulMa00","M.Faulk","LA","RB",14,419.7,2001,29.9785714285714,1,1,1,1,1,1,1
"00-0007661","HolmPr00","P. Holmes","KC","RB",16,332.9,2001,20.80625,2,1,1,1,1,1,1
"00-0006305","GreeAh00","A.Green","GB","RB",16,318.1,2001,19.88125,3,1,1,1,1,1,1
"00-0019647","AlexSh00","S.Alexander","SEA","RB",16,298.1,2001,18.63125,4,1,1,1,1,0,1
"00-0010442","MartCu00","C.Martin","NYJ","RB",16,297.02,2001,18.56375,5,1,1,1,1,0,1
"00-0020536","TomlLa00","L.Tomlinson","LAC","RB",16,269.3,2001,16.83125,6,1,1,1,1,0,1
"00-0017915","WillRi00","R.Williams","NO","RB",16,265.6,2001,16.6,7,1,1,1,1,0,0
