"position" "round" "top3" "top6" "top12" "top24" "top36" "top48" "total" "hr_3" "hr_6" "hr_12" "hr_24" "hr_36" "hr_48" "years"
"TE" 2 3 4 15 23 25 27 32 0.09375 0.125 0.46875 0.71875 0.78125 0.84375 20
"TE" 3 5 8 12 19 27 34 47 0.106382978723404 0.170212765957447 0.25531914893617 0.404255319148936 0.574468085106383 0.723404255319149 20
"TE" 4 3 5 8 14 20 27 40 0.075 0.125 0.2 0.35 0.5 0.675 20
"TE" 5 1 3 4 9 15 21 35 0.0285714285714286 0.0857142857142857 0.114285714285714 0.257142857142857 0.428571428571429 0.6 20
"TE" 6 0 1 3 7 10 12 30 0 0.0333333333333333 0.1 0.233333333333333 0.333333333333333 0.4 20
"TE" 7 0 0 0 1 3 9 30 0 0 0 0.0333333333333333 0.1 0.3 20
"TE" 8 8 15 27 50 84 109 300 0.0266666666666667 0.05 0.09 0.166666666666667 0.28 0.363333333333333 20
"WR" 1 15 21 26 36 48 55 72 0.208333333333333 0.291666666666667 0.361111111111111 0.5 0.666666666666667 0.763888888888889 20
"WR" 2 6 11 19 29 34 44 83 0.072289156626506 0.132530120481928 0.228915662650602 0.349397590361446 0.409638554216867 0.530120481927711 20
"WR" 3 4 7 10 20 25 31 79 0.0506329113924051 0.0886075949367089 0.126582278481013 0.253164556962025 0.316455696202532 0.392405063291139 20
"WR" 4 3 3 2 8 13 16 75 0.04 0.04 0.0266666666666667 0.106666666666667 0.173333333333333 0.213333333333333 20
"WR" 5 2 2 4 5 9 14 59 0.0338983050847458 0.0338983050847458 0.0677966101694915 0.0847457627118644 0.152542372881356 0.23728813559322 20
"WR" 6 1 1 2 2 2 7 68 0.0147058823529412 0.0147058823529412 0.0294117647058824 0.0294117647058824 0.0294117647058824 0.102941176470588 20
"WR" 7 0 0 3 5 6 6 71 0 0 0.0422535211267606 0.0704225352112676 0.0845070422535211 0.0845070422535211 20
"WR" 8 12 16 28 52 73 99 486 0.0246913580246914 0.0329218106995885 0.0576131687242798 0.106995884773663 0.150205761316872 0.203703703703704 20
