season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0031301,Jeremy Hill,RB,fantasy_points_ppr,22,176.3,0,0,0,1,1,1
2016,00-0022084,Anquan Boldin,WR,fantasy_points_ppr,42,173.4,0,0,0,0,0,1
2016,00-0029293,Marvin Jones,WR,fantasy_points_ppr,43,172.3,0,0,0,0,0,1
2016,00-0031299,Jordan Matthews,TE,fantasy_points_ppr,7,171.4,0,0,1,1,1,1
2016,00-0031273,Cameron Brate,TE,fantasy_points_ppr,8,171,0,0,1,1,1,1
2016,00-0031375,Terrance West,RB,fantasy_points_ppr,23,171,0,0,0,1,1,1
2016,00-0029682,Brock Osweiler,QB,fantasy_points_ppr,28,169.78,0,0,0,0,1,1
2016,00-0027714,Dennis Pitta,TE,fantasy_points_ppr,9,168.9,0,0,1,1,1,1
2016,00-0031023,Quincy Enunwa,WR,fantasy_points_ppr,44,168.9,0,0,0,0,0,1
2016,00-0030085,Kenny Stills,WR,fantasy_points_ppr,45,168.6,0,0,0,0,0,1
2016,00-0030472,Jordan Reed,TE,fantasy_points_ppr,10,168.6,0,0,1,1,1,1
2016,00-0026201,Martellus Bennett,TE,fantasy_points_ppr,11,168.1,0,0,1,1,1,1
2016,00-0025396,Ted Ginn,WR,fantasy_points_ppr,46,163,0,0,0,0,0,1
2016,00-0028411,Dontrelle Inman,WR,fantasy_points_ppr,47,163,0,0,0,0,0,1
2016,00-0023564,Darren Sproles,RB,fantasy_points_ppr,24,162.5,0,0,0,1,1,1
2016,00-0030107,Theo Riddick,RB,fantasy_points_ppr,25,161.8,0,0,0,0,1,1
2016,00-0031062,James White,RB,fantasy_points_ppr,26,161.7,0,0,0,0,1,1
2016,00-0024334,Brandon Marshall,WR,fantasy_points_ppr,48,155.8,0,0,0,0,0,1
2016,00-0031547,DeVante Parker,WR,fantasy_points_ppr,49,154.4,0,0,0,0,0,0
2016,00-0022127,Jason Witten,TE,fantasy_points_ppr,12,152.3,0,0,1,1,1,1
2016,00-0029632,Mohamed Sanu,WR,fantasy_points_ppr,50,148.8,0,0,0,0,0,0
2016,00-0028091,Jeremy Kerley,WR,fantasy_points_ppr,51,148.7,0,0,0,0,0,0
2016,00-0031376,Jerick McKinnon,RB,fantasy_points_ppr,27,148.4,0,0,0,0,1,1
