season,gsis_id,player_name,position,category,pos_rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2023,00-0034407,Ray-Ray McCloud,WR,fantasy_points_hppr,144,22.5,0,0,0,0,0,0
2023,00-0038547,Luke Schoonmaker,TE,fantasy_points_hppr,63,22.5,0,0,0,0,0,0
2023,00-0038583,Dorian Thompson-Robinson,QB,fantasy_points_hppr,57,22.1,0,0,0,0,0,0
2023,00-0036233,Donovan Peoples-Jones,WR,fantasy_points_hppr,145,22,0,0,0,0,0,0
2023,00-0036887,Luke Farrell,TE,fantasy_points_hppr,64,22,0,0,0,0,0,0
2023,00-0036754,Brock Wright,TE,fantasy_points_hppr,65,21.6,0,0,0,0,0,0
2023,00-0031585,MyCole Pruitt,TE,fantasy_points_hppr,66,21.5,0,0,0,0,0,0
2023,00-0033936,C.J. Beathard,QB,fantasy_points_hppr,58,21.46,0,0,0,0,0,0
2023,00-0034791,Nick Chubb,RB,fantasy_points_hppr,86,21.1,0,0,0,0,0,0
2023,00-0034364,Jordan Akins,TE,fantasy_points_hppr,67,20.7,0,0,0,0,0,0
2023,00-0038104,Tyquan Thornton,WR,fantasy_points_hppr,146,20.7,0,0,0,0,0,0
2023,00-0032688,Robbie Chosen,WR,fantasy_points_hppr,147,20.6,0,0,0,0,0,0
2023,00-0039074,Davis Allen,TE,fantasy_points_hppr,68,20.5,0,0,0,0,0,0
2023,00-0035639,Parris Campbell,WR,fantasy_points_hppr,148,20.4,0,0,0,0,0,0
2023,00-0035140,Mecole Hardman,WR,fantasy_points_hppr,149,20.2,0,0,0,0,0,0
2023,00-0034487,Trent Sherfield,WR,fantasy_points_hppr,150,20.1,0,0,0,0,0,0
2023,00-0033275,P.J. Walker,QB,fantasy_points_hppr,59,19.96,0,0,0,0,0,0
2023,00-0035414,Jalen Guyton,WR,fantasy_points_hppr,151,19.9,0,0,0,0,0,0
2023,00-0038589,Josh Whyle,TE,fantasy_points_hppr,69,19.9,0,0,0,0,0,0
2023,00-0037286,Kevin Harris,RB,fantasy_points_hppr,87,19.8,0,0,0,0,0,0
2023,00-0037539,Lucas Krull,TE,fantasy_points_hppr,70,19.5,0,0,0,0,0,0
2023,00-0036984,Trey Sermon,RB,fantasy_points_hppr,88,18.8,0,0,0,0,0,0
2023,00-0036438,Stephen Sullivan,TE,fantasy_points_hppr,71,18.5,0,0,0,0,0,0
2023,00-0038046,Charlie Kolar,TE,fantasy_points_hppr,72,18.2,0,0,0,0,0,0
2023,00-0032144,Melvin Gordon,RB,fantasy_points_hppr,89,18.2,0,0,0,0,0,0
2023,00-0035657,Damien Harris,RB,fantasy_points_hppr,90,18,0,0,0,0,0,0
2023,00-0033589,David Moore,WR,fantasy_points_hppr,152,17.9,0,0,0,0,0,0
2023,00-0038618,Xavier Hutchinson,WR,fantasy_points_hppr,153,17.9,0,0,0,0,0,0
2023,00-0036898,Davis Mills,QB,fantasy_points_hppr,60,17.82,0,0,0,0,0,0
2023,00-0036326,Chase Claypool,WR,fantasy_points_hppr,154,17.7,0,0,0,0,0,0
2023,00-0037557,Ronnie Rivers,RB,fantasy_points_hppr,91,17.6,0,0,0,0,0,0
2023,00-0036862,Ben Skowronek,WR,fantasy_points_hppr,155,17.5,0,0,0,0,0,0
2023,00-0037078,Cole Turner,TE,fantasy_points_hppr,73,17.5,0,0,0,0,0,0
2023,00-0032385,Sterling Shepard,WR,fantasy_points_hppr,156,17.3,0,0,0,0,0,0
2023,00-0038576,Charlie Jones,WR,fantasy_points_hppr,157,17.2,0,0,0,0,0,0
2023,00-0036364,Lynn Bowden,WR,fantasy_points_hppr,158,17,0,0,0,0,0,0
2023,00-0033757,Robert Tonyan,TE,fantasy_points_hppr,74,16.7,0,0,0,0,0,0
2023,00-0036268,Laviska Shenault,WR,fantasy_points_hppr,159,16.5,0,0,0,0,0,0
2023,00-0034286,Richie James,WR,fantasy_points_hppr,160,16.4,0,0,0,0,0,0
2023,00-0038045,Isaiah Spiller,RB,fantasy_points_hppr,92,16,0,0,0,0,0,0
2023,00-0032134,C.J. Uzomah,TE,fantasy_points_hppr,75,15.8,0,0,0,0,0,0
2023,00-0034414,Boston Scott,RB,fantasy_points_hppr,93,15.8,0,0,0,0,0,0
2023,00-0033466,Isaiah McKenzie,WR,fantasy_points_hppr,161,15.1,0,0,0,0,0,0
2023,00-0037120,Tyler Goodson,RB,fantasy_points_hppr,94,15.1,0,0,0,0,0,0
2023,00-0038389,Israel Abanikanda,RB,fantasy_points_hppr,95,14.8,0,0,0,0,0,0
2023,00-0028002,Randall Cobb,WR,fantasy_points_hppr,162,14.4,0,0,0,0,0,0
