"mfl_id","player_name","gsis_id","team","pfr_id"
14817,"Patrick Taylor","00-0035973","GBP","TaylPa01"
14818,"Xavier Jones","00-0036078","FA","JoneXa00"
14823,"Rico Dowdle","00-0036139","DAL","DowdRi01"
14854,"Binjimen Victor","00-0035819","FA","VictBi01"
14869,"Thaddeus Moss","00-0036023","FA","MossTh01"
14872,"Jared Pinkney","00-0035787","CHI","PinkJa02"
14874,"Hunter Bryant","00-0036008","FA","BryaHu02"
15035,"John Wolford","00-0034899","TBB","WolfJo00"
15041,"Lawrence Cager","00-0036145","NYG","CageLa01"
15046,"Kirk Merritt","00-0035844","NOS","MerrKi00"
15049,"Joe Bachie","00-0035895","CIN","BachJo01"
15054,"Giovanni Ricci","00-0035956","CAR","RiccGi00"
15057,"Dan Chisena","00-0035976","PIT","ChisDa00"
15060,"Chris Streveler","00-0035752","NYJ","StreCh00"
15066,"Eli Wolf","00-0036129","FA","WolfEl00"
15076,"Christian Rozeboom","00-0035942","LAR","RozeCh00"
15079,"Essang Bassey","00-0035862","DEN","BassEs01"
15080,"Noah Togiai","00-0036005","ARI","TogiNo00"
15081,"Tershawn Wharton","00-0035890","KCC","WharTe00"
15082,"Krys Barnes","00-0035961","ARI","BarnKr00"
15089,"Malcolm Roach","00-0035763","NOS","RoacMa01"
15093,"Marquise Copeland","00-0035607","LAR","CopeMa01"
15094,"PJ Locke","00-0035227","DEN","LockPJ00"
15097,"Sean McKeon","00-0036032","DAL","McKeSe01"
15103,"Reggie Gilliam","00-0036187","BUF","GillRe00"
15114,"Myles Hartsfield","00-0035950","SFO","HartMy00"
15117,"Demetrius Flannigan-Fowles","00-0035020","SFO","FlanDe00"
15121,"Bryce Huff","00-0036151","NYJ","HuffBr00"
15124,"James Pierre","00-0035795","PIT","PierJa01"
15125,"Lamar Jackson","00-0036152","KCC","JackLa02"
15130,"Juju Hughes","00-0036077","ARI","HughJu00"
15132,"Kendal Vickers","00-0034125","BUF","VickKe00"
15137,"Grayland Arnold","00-0035995","HOU","ArnoGr01"
15140,"Cam Lewis","00-0035357","BUF","LewiCa00"
15142,"Tyler Hall","00-0035783","LVR","HallTy01"
15147,"Javelin Guidry","00-0036149","NYJ","GuidJa01"
15148,"Sam Franklin","00-0036037","CAR","FranSa00"
15151,"Kristian Welch","00-0036157","BAL","WelcKr00"
15159,"Henry Mondeaux","00-0034318","JAC","MondHe00"
15165,"Benito Jones","00-0035841","DET","JoneBe03"
15168,"Michael Jacquet","00-0035998","LAC","JacqMi00"
15173,"Teair Tart","00-0036181","TEN","TartTe00"
15176,"Jace Whittaker","00-0036043","WAS","WhitJa05"
15177,"Myles Bryant","00-0036087","NEP","BryaMy01"
15191,"Bobby Price","00-0036011","ARI","PricBo00"
15203,"Blake Lynch","00-0035984","LAC","LyncBl00"
15206,"JaMarcus Bradley","00-0036110","PIT","BradJa01"
15212,"Joe Gaziano","00-0035903","ATL","GaziJo01"
15220,"Antonio Williams","00-0036188","FA","WillAn03"
15225,"Elijah Riley","00-0036002","PIT","RileEl01"
15229,"AJ Green","00-0036114","CLE","GreeAJ00"
15244,"Feleipe Franks","00-0036825","ATL","FranFe00"
15248,"Shane Buechele","00-0036679","KCC","BuecSh00"
15268,"Javian Hawkins","00-0036827","FA","HawkJa01"
15277,"Deon Jackson","00-0036493","IND","JackDe02"
15324,"Austin Watkins","00-0036676","FA","WatkAu00"
15325,"Cade Johnson","00-0036810","SEA","JohnCa03"
