"mfl_id","player_name","pfr_id","gsis_id","team"
"14535","Amani Bledsoe",NA,"00-0035513","FA"
"14543","Darius Harris",NA,"00-0035157","LVR"
"14545","Jason Moore",NA,"00-0035432","FA"
"14551","Trenton Irwin",NA,"00-0035341","CIN"
"14552","Khari Blasingame",NA,"00-0035099","CHI"
"14590","Azeez Al-Shaair",NA,"00-0035166","TEN"
"14595","Kevin Strong",NA,"00-0035334","ARI"
"14612","Patrick Laird",NA,"00-0035342","TBB"
"14624","Micah Abernathy",NA,"00-0035098","ATL"
"14652","Kevin Givens",NA,"00-0035026","SFO"
"14653","Isaiah Mack",NA,"00-0035519","FA"
"14669","Keisean Nixon",NA,"00-0035133","GBP"
"14670","Daniel Ekuale",NA,"00-0034251","NEP"
"14671","CJ Moore",NA,"00-0035327","FA"
"14672","Troy Reeder",NA,"00-0035617","MIN"
"14675","Shy Tuttle",NA,"00-0035409","CAR"
"14676","Kyle Phillips",NA,"00-0035507","NOS"
"14680","Bryan Mone",NA,"00-0035094","SEA"
"14681","Demone Harris",NA,"00-0034612","FA"
"14702","Roderic Teamer",NA,"00-0035437","LVR"
"14716","Jonathan Harris",NA,"00-0035073","DEN"
"14722","Nik Needham",NA,"00-0035346","MIA"
"14727","Craig Reynolds",NA,"00-0035567","DET"
"14738","Anthony Rush",NA,"00-0035390","FA"
"14752","Jesper Horsted",NA,"00-0035562","LVR"
"14789","Tyler Huntley",NA,"00-0035993","BAL"
"14792","Bryce Perkins",NA,"00-0035939","FA"
"14812","Darius Anderson",NA,"00-0036027","FA"
"14817","Patrick Taylor",NA,"00-0035973","GBP"
"14818","Xavier Jones",NA,"00-0036078","FA"
"14823","Rico Dowdle",NA,"00-0036139","DAL"
"14854","Binjimen Victor",NA,"00-0035819","FA"
"14869","Thaddeus Moss",NA,"00-0036023","FA"
"14872","Jared Pinkney",NA,"00-0035787","CHI"
"14874","Hunter Bryant",NA,"00-0036008","FA"
"15035","John Wolford",NA,"00-0034899","TBB"
"15041","Lawrence Cager",NA,"00-0036145","NYG"
"15046","Kirk Merritt",NA,"00-0035844","NOS"
"15049","Joe Bachie",NA,"00-0035895","CIN"
"15054","Giovanni Ricci",NA,"00-0035956","CAR"
"15057","Dan Chisena",NA,"00-0035976","PIT"
"15060","Chris Streveler",NA,"00-0035752","NYJ"
"15066","Eli Wolf",NA,"00-0036129","FA"
"15076","Christian Rozeboom",NA,"00-0035942","LAR"
"15079","Essang Bassey",NA,"00-0035862","DEN"
"15080","Noah Togiai",NA,"00-0036005","ARI"
"15081","Tershawn Wharton",NA,"00-0035890","KCC"
"15082","Krys Barnes",NA,"00-0035961","ARI"
"15089","Malcolm Roach",NA,"00-0035763","NOS"
"15093","Marquise Copeland",NA,"00-0035607","LAR"
"15094","PJ Locke",NA,"00-0035227","DEN"
"15097","Sean McKeon",NA,"00-0036032","DAL"
