"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"TB","2","NULL","c(""L. Ryan (S, Active)"", ""K. Neal (S, Active)"")","c(""S. Murphy-Bunting (CB, Active)"", ""Z. McCollum (CB, Active)"")","NULL","NULL","NULL","R. Nunez-Roches (NT, Active)","C. Nassib (OLB, Active)","K. Britt (ILB, Active)","J. Molchon (C, Active)","NULL","NULL","NULL","L. Goedeke (LG, Active)","B. Walton (RG, Active)","NULL","B. Gabbert (QB, Active)","K. Vaughn (RB, Active)","NULL","NULL","NULL","C. Otton (TE, Active)","c(""B. Perriman (WR, Active)"", ""R. Gage (WR, Active)"", ""S. Miller (WR, Active)"")","NULL","c(""P. O'Connor (DL, Active)"", ""L. Hall (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TEN","2","NULL","J. Kalu (S, Active)","c(""G. Mabin (CB, Active)"", ""T. Avery (CB, Active)"")","NULL","M. Edwards (DE, Active)","K. Strong (DT, Active)","N. Jones (NT, Active)","T. Basham (OLB, Active)","J. Gibbens (ILB, Active)","D. Munyer (C, Active)","L. Clark (RT, Active)","NULL","NULL","X. Newman-Johnson (LG, Active)","NULL","L. Clark (LT, Active)","M. Willis (QB, Active)","H. Haskins (RB, Active)","NULL","NULL","NULL","c(""K. Rader (TE, Active)"", ""C. Okonkwo (TE, Active)"")","c(""C. Conley (WR, Active)"", ""T. Burks (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"WAS","2","NULL","c(""J. Reaves (S, Active)"", ""P. Butler (S, Active)"", ""P. Butler (S, Active)"")","C. Holmes (CB, Active)","NULL","c(""J. Smith-Williams (DE, Active)"", ""C. Toohill (DE, Active)"")","c(""E. Obada (DT, Active)"", ""J. Ridgeway (DT, Active)"")","NULL","C. Eifler (OLB, Active)","NULL","N. Martin (C, Active)","S. Cosmi (RT, Active)","NULL","NULL","C. Paul (LG, Active)","NULL","C. Lucas (LT, Active)","T. Heinicke (QB, Active)","B. Robinson (RB, Active)","NULL","NULL","NULL","J. Bates (TE, Active)","c(""C. Sims (WR, Active)"", ""D. Brown (WR, Active)"", ""D. Milne (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ARI","3","NULL","NULL","J. Jackson (CB, Active)","NULL","NULL","NULL","NULL","c(""V. Dimukeje (OLB, Active)"", ""J. Luketa (OLB, Active)"")","c(""C. Grugier-Hill (ILB, Active)"", ""T. Vallejo (ILB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Clement (RB, Active)","NULL","NULL","NULL","M. Williams (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ATL","3","NULL","NULL","c(""M. Ford (CB, Active)"", ""M. Abernathy (CB, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Williams (RB, Active)","NULL","NULL","NULL","A. Firkser (TE, Active)","F. Darby (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BAL","3","NULL","NULL","K. Seymour (CB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","P. Mekari (C, Active)","D. Faalele (RT, Active)","NULL","NULL","NULL","B. Cleveland (RG, Active)","D. Faalele (LT, Active)","NULL","J. Hill (RB, Active)","NULL","NULL","NULL","J. Oliver (TE, Active)","NULL","NULL","NULL","NULL","D. Ojabo (RUSH, Active)","M. Harrison (SAM, Active)","NULL","D. Phillips (WLB, Active)","NULL","C. Kolar (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BUF","3","NULL","J. Mayden (S, Active)","C. Benford (CB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N. Hines (RB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Matakevich (MLB, Active)","NULL","NULL","T. Jones (
    , Active)","NULL","K. Jonathan (EDGE, Active)","T. Bernard (SLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CAR","3","S. Chandler (FS, Active)","NULL","NULL","S. Franklin (SS, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","L. Coleman (LT, Active)","NULL","R. Blackshear (RB, Active)","NULL","NULL","NULL","NULL","R. Higgins (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Wooten (MIKE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CHI","3","NULL","NULL","c(""M. Ojemudia (CB, Active)"", ""B. Hand (CB, Active)"")","NULL","NULL","A. Brown (DT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Boyle (QB, Active)","T. Ebner (RB, Active)","NULL","NULL","NULL","T. Wesco (TE, Active)","c(""D. Pettis (WR, Active)"", ""C. Claypool (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Evans (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CIN","3","NULL","NULL","NULL","NULL","NULL","NULL","J. Tufele (NT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Asiasi (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""C. Johnston (LB, Active)"", ""J. Bachie (LB, Active)"")","T. Williams (
    , Active)","NULL","NULL","NULL","NULL","NULL","J. Gunter (RDE, Active)","NULL","NULL","NULL","C. Evans (HB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CLE","3","NULL","NULL","c(""A. Green (CB, Active)"", ""T. Graham (CB, Active)"")","NULL","C. Winovich (DE, Active)","B. Stille (DT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Mond (QB, Active)","D. Johnson (RB, Active)","NULL","NULL","NULL","NULL","c(""J. Darden (WR, Active)"", ""M. Woods (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Ford (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DAL","3","NULL","NULL","C. Goodwin (CB, Active)","NULL","C. Golston (DE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","W. Grier (QB, Active)","M. Davis (RB, Active)","NULL","NULL","NULL","P. Hendershot (TE, Active)","J. Tolbert (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""L. Gifford (LB, Active)"", ""J. Cox (LB, Active)"")","S. McKeon (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DEN","3","NULL","NULL","NULL","NULL","c(""E. Uwazurike (DE, Active)"", ""E. Garcia (DE, Active)"")","M. Henningsen (DT, Active)","NULL","NULL","NULL","NULL","W. Sherman (RT, Active)","NULL","NULL","NULL","NULL","C. DiLauro (LT, Active)","J. Guarantano (QB, Active)","T. Badie (RB, Active)","NULL","NULL","NULL","E. Tomlinson (TE, Active)","M. Washington (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Okwuegbunam (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. McMillian (RCB, Active)","E. Bassey (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DET","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","R. Pierschbacher (LG, Active)","L. Stenberg (RG, Active)","NULL","NULL","J. Jackson (RB, Active)","NULL","NULL","NULL","S. Zylstra (TE, Active)","NULL","NULL","c(""R. Okwara (DL, Active)"", ""A. Bryant (DL, Active)"")","NULL","NULL","NULL","NULL","NULL","c(""J. Woods (LB, Active)"", ""A. Pittman (LB, Active)"")","J. Cabinda (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"GB","3","NULL","c(""I. Gaines (S, Active)"", ""T. Carpenter (S, Active)"")","C. Ballentine (CB, Active)","NULL","NULL","NULL","J. Ford (NT, Active)","NULL","E. Wilson (ILB, Active)","NULL","L. Tenuta (RT, Active)","NULL","NULL","NULL","NULL","C. Jones (LT, Active)","NULL","P. Taylor (RB, Active)","NULL","NULL","NULL","J. Deguara (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Davis (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"HOU","3","NULL","G. Arnold (S, Active)","S. Nelson (CB, Active)","NULL","R. Green (DE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Allen (QB, Active)","M. Burkhead (RB, Active)","NULL","NULL","NULL","c(""O. Howard (TE, Active)"", ""B. Jordan (TE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","N. Hewitt (LB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"IND","3","NULL","NULL","NULL","NULL","K. Cline (DE, Active)","C. Williams (DT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Pinter (RG, Active)","NULL","N. Foles (QB, Active)","J. Funk (RB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","G. Stuard (WLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"JAX","3","NULL","NULL","G. Junior (CB, Active)","NULL","C. Peters (DE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Conner (RB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Johnson (LB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"KC","3","NULL","NULL","N. Johnson (CB, Active)","NULL","c(""J. Kaindoh (DE, Active)"", ""M. Herring (DE, Active)"")","NULL","NULL","NULL","NULL","NULL","L. Niang (RT, Active)","NULL","NULL","NULL","NULL","NULL","S. Buechele (QB, Active)","R. Jones (RB, Active)","NULL","NULL","NULL","B. Bell (TE, Active)","c(""J. Watson (WR, Active)"", ""M. Hardman (WR, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LA","3","NULL","NULL","NULL","NULL","E. Brown (DE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Z. Thomas (RG, Active)","NULL","B. Perkins (QB, Active)","R. Rivers (RB, Active)","NULL","NULL","NULL","NULL","c(""B. Powell (WR, Active)"", ""A. Trammell (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""S. Jolly (\n    , Active)"", ""M. Brown (\n    , Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Durant (RCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LAC","3","NULL","R. Layne (S, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","S. Norton (RT, Active)","NULL","NULL","NULL","NULL","S. Norton (LT, Active)","E. Stick (QB, Active)","I. Spiller (RB, Active)","NULL","NULL","NULL","c(""T. McKitty (TE, Active)"", ""S. Smartt (TE, Active)"")","M. Bandy (WR, Active)","NULL","C. Hinton (DL, Active)","NULL","NULL","NULL","NULL","NULL","c(""N. Niemann (LB, Active)"", ""A. Ogbongbemiga (LB, Active)"")","NULL","NULL","D. Tuszka (EDGE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LV","3","I. Pola-Mao (FS, Active)","NULL","c(""S. Jones (CB, Active)"", ""T. Hall (CB, Active)"")","NULL","M. Koonce (DE, Active)","c(""J. Tillery (DT, Active)"", ""M. Butler (DT, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Abdullah (RB, Active)","NULL","NULL","NULL","J. Horsted (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B. Brown (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIA","3","NULL","V. McKinley (S, Active)","J. Bethel (CB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Lamm (LT, Active)","T. Tagovailoa (QB, Active)","NULL","NULL","NULL","NULL","H. Long (TE, Active)","c(""T. Cracraft (WR, Active)"", ""E. Ezukanma (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C. Tindall (LB, Active)","T. Conner (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIN","3","NULL","NULL","c(""K. Boyd (CB, Active)"", ""K. Barnes (CB, Active)"")","NULL","NULL","NULL","J. Bullard (NT, Active)","L. Vilain (OLB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Mundt (TE, Active)","J. Nailor (WR, Active)","NULL","NULL","NULL","NULL","NULL","W. Kwenkeu (MLB, Active)","NULL","NULL","T. Chandler (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Nwangwu (HB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NE","3","NULL","c(""J. Bledsoe (S, Active)"", ""B. Schooler (S, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Russey (C, Active)","NULL","NULL","NULL","NULL","NULL","C. McDermott (LT, Active)","NULL","NULL","NULL","NULL","NULL","M. Sokol (TE, Active)","c(""T. Thornton (WR, Active)"", ""R. Webb (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""C. Munson (LB, Active)"", ""A. Jennings (LB, Active)"")","M. Slater (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Mills (RCB, Active)","K. Hayes (LCB, Active)","NULL","S. Roberts (LE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NO","3","J. Evans (FS, Active)","NULL","NULL","D. Sorensen (SS, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Penning (LT, Active)","NULL","D. Johnson (RB, Active)","NULL","NULL","NULL","J. Johnson (TE, Active)","R. Shaheed (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","E. Benjamin (
    , Active)","NULL","NULL","NULL","NULL","C. Hansen (WILL, Active)","P. Turner (RDE, Active)","NULL","NULL","NULL","NULL","NULL","I. Yiadom (RCB, Active)","C. Harris (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYG","3","T. Jefferson (FS, Active)","NULL","NULL","NULL","NULL","R. Anderson (DT, Active)","NULL","NULL","NULL","NULL","M. Peart (RT, Active)","NULL","NULL","NULL","W. Davis (RG, Active)","NULL","NULL","G. Brightwell (RB, Active)","NULL","NULL","NULL","L. Cager (TE, Active)","NULL","NULL","NULL","NULL","T. Fox (RUSH, Active)","NULL","J. Davis (MLB, Active)","NULL","NULL","R. Williams (
    , Active)","NULL","NULL","NULL","NULL","C. Brown (WILL, Active)","NULL","NULL","NULL","NULL","NULL","C. Flott (NKL, Active)","R. Williams (RCB, Active)","N. McCloud (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYJ","3","NULL","W. Parks (S, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","E. Smith (LT, Active)","Z. Wilson (QB, Active)","T. Johnson (RB, Active)","NULL","NULL","NULL","NULL","I. Charles (WR, Active)","NULL","B. Anae (DL, Active)","NULL","NULL","NULL","NULL","NULL","NULL","J. Robinson (
    , Active)","NULL","c(""V. Curry (EDGE, Active)"", ""M. Clemons (EDGE, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PHI","3","NULL","NULL","NULL","NULL","NULL","c(""L. Joseph (DT, Active)"", ""M. Williams (DT, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Gainwell (RB, Active)","NULL","NULL","NULL","G. Calcaterra (TE, Active)","NULL","NULL","NULL","NULL","NULL","K. Johnson (SAM, Active)","NULL","NULL","NULL","T. Sermon (
    , Active)","NULL","NULL","NULL","C. Elliss (MIKE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PIT","3","T. Norwood (FS, Active)","NULL","NULL","E. Riley (SS, Active)","NULL","J. Marshall (DT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M. Rudolph (QB, Active)","B. Snell (RB, Active)","NULL","NULL","NULL","C. Heyward (TE, Active)","K. Olszewski (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Crowder (RILB, Active)","NULL","NULL","NULL","NULL","NULL"
"SEA","3","NULL","NULL","NULL","NULL","L. Collier (DE, Active)","NULL","NULL","L. Jones (OLB, Active)","NULL","NULL","J. Curhan (RT, Active)","NULL","NULL","NULL","J. Curhan (RG, Active)","NULL","NULL","G. Igwebuike (RB, Active)","NULL","NULL","NULL","T. Mabry (TE, Active)","P. Hart (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","X. Crawford (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Coleman (RCB, Active)","A. Burns (LCB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"SF","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Johnson (QB, Active)","J. Mason (RB, Active)","NULL","NULL","NULL","R. Dwelley (TE, Active)","D. Gray (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Kroft (
    , Active)","NULL","NULL","NULL","NULL","NULL","J. Willis (RDE, Active)","K. Hyder (LDE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TB","3","NULL","D. Delaney (S, Active)","NULL","NULL","NULL","NULL","D. Senat (NT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Trask (QB, Active)","G. Bernard (RB, Active)","NULL","NULL","NULL","K. Rudolph (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","K. Kieft (
    , Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TEN","3","NULL","c(""L. Johnson (S, Active)"", ""J. Thompson (S, Active)"")","D. Harris (CB, Active)","NULL","NULL","NULL","NULL","NULL","J. Jones (ILB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Chestnut (RB, Active)","NULL","NULL","NULL","NULL","R. McMath (WR, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"WAS","3","NULL","NULL","R. Wildgoose (CB, Active)","NULL","S. Toney (DE, Active)","D. Bada (DT, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","W. Martin (LG, Active)","NULL","NULL","C. Wentz (QB, Active)","J. Williams (RB, Active)","NULL","NULL","NULL","C. Turner (TE, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ARI","4","c(""A. Banjo (FS, R/Injured)"", ""J. Hughes (FS, PS; Exc)"")","NULL","c(""A. Hamilton (CB, Active)"", ""N. Hairston (CB, Prac Sq.; Inj)"", ""B. Murphy (CB, R/Injured)"", ""J. Miller (CB, PS; Exc)"", ""M. Wilson (CB, Active)"", ""C. Wilcox (CB, Practice Squad)"")","c(""B. Baker (SS, R/Injured)"", ""J. Thomas (SS, Active)"")","c(""Z. Allen (DE, Active)"", ""J. Ledbetter (DE, R/Injured)"")","c(""A. Woods (DT, Prac Sq.; Inj)"", ""T. Hill (DT, R/Injured)"", ""E. Banks (DT, Active)"")","R. Lawrence (NT, R/Injured)","B. Lynch (OLB, PS; Exc)","N. Vigil (ILB, R/Injured)","R. Hudson (C, R/Injured)","NULL","c(""J. Pugh (G, R/Injured)"", ""K. Martin (G, Practice Squad)"", ""L. Simmons (G, PS; Exc)"", ""M. Hayes (G, R/Injured)"")","c(""D. Humphries (T, R/Injured)"", ""J. Davenport (T, PS; Vet)"", ""R. Coward (T, Active)"", ""J. Miles (T, R/Injured)"", ""B. Traore (T, Practice Squad)"")","NULL","NULL","NULL","c(""D. McCoy (QB, Active)"", ""K. Murray (QB, R/Injured)"", ""J. Morgan (QB, Practice Squad)"")","c(""D. Williams (RB, R/Injured)"", ""T. Williams (RB, Active)"")","A. Lee (P, Active)","M. Prater (K, Active)","c(""A. Brewer (LS, R/Injured)"", ""H. Bradley (LS, Active)"")","c(""Z. Ertz (TE, R/Injured)"", ""B. Seikovits (TE, Int'l PSquad)"", ""C. Pierce (TE, Practice Squad)"")","c(""D. Hopkins (WR, Active)"", ""J. Wims (WR, PS; Vet)"", ""A. Tate (WR, PS; Vet)"", ""A. Wesley (WR, R/Injured)"", ""I. Coulter (WR, Practice Squad)"", ""A. Baccellia (WR, Active)"", ""R. Moore (WR, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ATL","4","NULL","NULL","c(""C. Hayward (CB, R/Injured)"", ""C. Armstrong (CB, Active)"", ""R. Fenton (CB, Active)"", ""D. Mabin (CB, Practice Squad)"", ""J. Reid (CB, PS; Exc)"", ""J. Guidry (CB, PS; Exc)"")","J. Moffatt (SS, R/Injured)","c(""A. Bledsoe (DE, PS; Exc)"", ""T. Graham (DE, R/Injured)"")","c(""V. Taylor (DT, R/Injured)"", ""J. Dalton (DT, Active)"", ""K. Smith (DT, Practice Squad)"", ""D. Tangelo (DT, Prac Sq.; Inj)"")","E. Goldman (NT, R/Retired)","c(""Q. Bell (OLB, Practice Squad)"", ""D. Anenih (OLB, Active)"")","c(""D. Etheridge (ILB, Practice Squad)"", ""N. Landman (ILB, Practice Squad)"")","J. Harrison (C, PS; Vet)","NULL","c(""J. Mayfield (G, R/Injured)"", ""J. Shaffer (G, Practice Squad)"")","c(""E. Wilkinson (T, Active)"", ""C. Edoga (T, R/Injured)"", ""T. Vrabel (T, Prac Sq.; Inj)"")","NULL","NULL","NULL","M. Mariota (QB, R/Injured)","c(""C. Huntley (RB, R/Injured)"", ""B. Baylor (RB, Practice Squad)"")","B. Pinion (P, Active)","Y. Koo (K, Active)","c(""B. Brinkley (LS, R/Injured)"", ""L. McCullough (LS, Active)"")","c(""K. Pitts (TE, R/Injured)"", ""F. Franks (TE, Active)"", ""J. Raine (TE, Practice Squad)"", ""J. FitzPatrick (TE, R/Injured; DFR)"")","c(""R. Henry (WR, Practice Squad)"", ""J. Bernhardt (WR, R/Injured; DFR)"", ""C. Emezie (WR, Prac Sq.; Inj)"", ""J. Ali (WR, Active)"")","M. Hankins (DB, Practice Squad)","NULL","C. Ratkovich (FB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
