player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
D.J. Jones,11953,DI,SF,1,1,0,,0,0,28,,68.2,76.0,49.5,74.2,40.8,0,2,0,,16.7,1,0,0,0.0,0,0,0,0,0,37,37,8,26,0,3,0,0,21,16,0,4,4,0,2,0,0,0,
Rudy Ford,11963,CB,JAX,1,2,0,100.0,0,0,15,63.2,65.7,73.9,59.0,69.4,80.4,0,1,0,9,0.0,0,0,0,89.2,5,0,8,1,24,36,0,0,0,0,0,0,36,1,11,27,1,3,5,1,0,27,7,5.4
Ifeadi Odenigbo,11975,ED,CLV,1,0,0,,0,0,8,,66.4,76.6,65.6,61.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,15,15,0,0,15,0,0,0,7,8,0,0,0,0,0,0,0,0,
Elijah Lee,11987,LB,CLV,1,0,0,,0,0,8,,60.0,60.0,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Patrick O'Connor,12005,DI,TB,1,1,0,,0,0,30,,42.5,70.6,58.8,52.1,67.4,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,6,6,0,1,1,4,0,0,2,4,0,0,0,0,0,0,0,0,
Michael Davis,12040,CB,LAC,1,0,0,,0,0,27,50.9,53.0,73.2,,61.7,,0,0,0,,,0,0,1,0.0,0,0,2,17,13,19,0,0,0,0,0,0,19,0,6,0,0,0,0,0,0,0,0,
Greg Mabin,12068,CB,TEN,1,2,0,54.5,0,0,31,29.5,31.1,78.3,,64.4,79.1,0,0,0,10,0.0,0,0,1,94.5,6,0,4,57,46,64,0,0,0,0,0,0,64,0,18,3,0,3,11,0,1,44,10,7.3
Josh Tupou,12093,DI,CIN,1,1,0,,0,0,7,,76.0,76.2,60.0,76.5,68.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,31,31,4,27,0,0,0,0,16,15,0,0,0,0,0,0,0,0,
Adam Butler,12214,DI,MIA,1,1,0,,0,0,17,60.3,59.4,77.1,53.2,66.9,70.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,41,41,13,25,0,3,0,0,35,5,0,2,3,0,0,0,0,0,
Arthur Maulet,12224,CB,PIT,1,1,0,50.0,0,0,25,52.0,57.2,72.6,,69.8,78.5,0,0,0,11,0.0,0,0,0,61.5,2,0,3,0,16,23,0,0,0,0,0,0,23,0,7,20,0,3,4,0,0,17,13,8.5
