player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Jack Fox,34735,P,DET,1,3,3,4.39,44.67,50.67,9.0,0,0,0,1,11,62.9,1,57,0,0,66.7,18,2,3,13.16,134,0,152
Michael Dickson,35381,P,SEA,1,5,5,4.0,35.6,37.0,7.0,0,0,2,1,29,61.7,4,49,1,0,20.0,7,1,5,20.0,178,0,185
A.J. Cole III,36038,P,LV,1,6,6,4.64,41.5,52.67,16.8,0,0,0,1,23,70.4,3,67,1,0,66.7,67,4,6,27.84,249,0,316
Mitch Wishnowsky,44663,P,SF,1,2,2,4.6,38.0,38.0,,0,0,1,0,28,61.3,2,43,1,0,0.0,0,0,2,9.2,76,0,76
Braden Mann,44664,P,NYJ,1,1,1,4.64,52.0,56.0,4.0,0,0,0,0,22,60.9,0,56,0,0,100.0,4,1,1,4.64,52,0,56
Blake Gillikin,45045,P,NO,1,2,2,4.32,43.0,51.5,17.0,0,0,1,0,20,59.3,1,58,0,0,50.0,17,1,2,8.64,86,0,103
Cameron Nizialek,60273,P,ATL,1,6,6,4.17,43.33,46.5,4.8,0,0,0,1,2,58.3,3,62,1,0,66.7,19,4,6,24.99,260,0,279
Pressley Harvin III,62973,P,PIT,1,5,5,4.16,41.2,41.4,1.0,0,0,1,1,25,49.2,2,51,2,0,20.0,1,1,5,20.78,206,0,207
Jamie Gillan,63303,P,CLV,1,1,1,4.12,45.0,52.0,7.0,0,0,0,0,8,60.0,0,52,0,0,100.0,7,1,1,4.12,45,0,52
Arryn Siposs,82019,P,PHI,1,4,4,4.28,44.5,47.25,5.5,0,0,2,0,24,68.0,3,54,0,0,50.0,11,2,4,17.13,178,0,189
